id,Stad,Property type,Region,Subtype,Price,Type of sale,Construction year,Bedroom Count,Habitable surface,Kitchen type,Furnished,Fireplace,Terrace,Garden,Garden surface,Facades,SwimmingPool,Condition,EPC score
10587149,ECAUSSINNES-D'ENGHIEN,FITTED_OUT,WALLONIE,HOUSE,238000,residential_sale,0,3,107,NOT_INSTALLED,0,1,1,0,83,2,0,TO_BE_DONE_UP,E
10614855,Wagnelée,0,WALLONIE,HOUSE,240000,residential_sale,0,3,142,SEMI_EQUIPPED,0,1,0,1,332,3,0,GOOD,E
10545203,Nivelles,RESIDENTIAL,WALLONIE,HOUSE,240000,residential_sale,0,4,123,0,0,0,0,1,404,2,0,TO_RENOVATE,G
10622821,Ronse,0,FLANDERS,HOUSE,248000,residential_sale,1918,4,182,INSTALLED,0,1,0,0,154,3,0,0,D
10635418,Durbuy,LANDSCAPE,WALLONIE,HOUSE,245000,residential_sale,2013,2,136,HYPER_EQUIPPED,0,1,1,1,700,4,0,0,B
10561376,Orp-Jauche,ISOLATED,WALLONIE,HOUSE,249000,residential_sale,0,3,140,INSTALLED,0,0,1,0,579,2,0,AS_NEW,D
10634825,Bornem,0,FLANDERS,HOUSE,249000,residential_sale,0,4,175,SEMI_EQUIPPED,0,1,1,1,360,3,0,TO_BE_DONE_UP,F
10211660,Trazegnies,ISOLATED,WALLONIE,HOUSE,249000,residential_sale,0,2,170,INSTALLED,0,0,1,1,500,3,0,AS_NEW,E
10237310,Huy,0,WALLONIE,APARTMENT_BLOCK,249000,residential_sale,0,5,310,INSTALLED,0,1,1,0,110,2,0,GOOD,D
10642832,Niel,0,FLANDERS,HOUSE,249000,residential_sale,0,2,127,INSTALLED,0,1,1,0,75,2,0,GOOD,C
10540701,Nivelles,URBAN,WALLONIE,HOUSE,250000,residential_sale,0,3,118,HYPER_EQUIPPED,0,1,1,1,140,2,0,GOOD,D
10589118,Ronse,0,FLANDERS,HOUSE,259000,residential_sale,0,4,267,INSTALLED,0,1,0,0,100,2,0,GOOD,D
10663682,Antwerp,URBAN,FLANDERS,APARTMENT,595000,residential_sale,0,2,145,HYPER_EQUIPPED,0,0,1,0,0,2,0,AS_NEW,B
10556572,AUBY-SUR-SEMOIS,0,WALLONIE,HOUSE,255000,residential_sale,1994,3,107,INSTALLED,1,1,1,0,169,3,0,0,F
10361538,BUZET,0,WALLONIE,HOUSE,260000,residential_sale,0,4,200,INSTALLED,0,1,0,1,180,3,0,GOOD,C
10663683,Kapellen,URBAN,FLANDERS,APARTMENT,259000,residential_sale,1977,3,100,HYPER_EQUIPPED,0,0,1,0,0,2,0,GOOD,E
10607031,Willebroek,0,FLANDERS,HOUSE,239000,residential_sale,1940,2,0,SEMI_EQUIPPED,0,1,1,1,147,2,0,TO_RENOVATE,D
10589199,Marche-lez-Ecaussinnes,0,WALLONIE,HOUSE,260000,residential_sale,1900,2,150,INSTALLED,0,1,1,1,220,2,0,GOOD,C
10640510,Vresse-sur-Semois,0,WALLONIE,HOUSE,250000,residential_sale,1975,4,90,INSTALLED,1,1,1,0,950,4,0,0,D
10663675,Auderghem,RESIDENTIAL,BRUSSELS,HOUSE,480000,residential_sale,1936,4,150,HYPER_EQUIPPED,0,0,1,1,135,2,0,GOOD,0
10663681,Antwerp,0,FLANDERS,GROUND_FLOOR,239900,residential_sale,0,2,80,INSTALLED,0,0,0,0,0,0,0,JUST_RENOVATED,E
10399147,Tielt,URBAN,FLANDERS,APARTMENT,225000,residential_sale,1980,3,105,INSTALLED,0,0,0,0,0,3,0,0,C
10663671,Denderleeuw,URBAN,FLANDERS,HOUSE,369000,residential_sale,1998,4,215,USA_HYPER_EQUIPPED,0,0,1,1,203,3,0,AS_NEW,B
10663673,Geel,URBAN,FLANDERS,HOUSE,365000,residential_sale,1930,3,151,INSTALLED,0,0,1,0,1191,4,0,0,C
10663669,Knokke-Heist,LANDSCAPE,FLANDERS,APARTMENT,485000,residential_sale,1968,2,0,USA_HYPER_EQUIPPED,0,0,1,0,0,2,0,AS_NEW,B
10663670,Uccle,0,BRUSSELS,HOUSE,920000,residential_sale,1905,5,290,NOT_INSTALLED,0,0,1,1,664,3,0,TO_RENOVATE,G
10535008,Wagnelée,0,WALLONIE,HOUSE,250000,residential_sale,0,3,160,SEMI_EQUIPPED,0,1,0,0,393,3,0,GOOD,F
10663668,Knokke-Heist,LANDSCAPE,FLANDERS,APARTMENT,485000,residential_sale,1968,2,0,USA_HYPER_EQUIPPED,0,0,1,0,0,2,0,AS_NEW,B
10663665,KNOKKE-ZOUTE,0,FLANDERS,APARTMENT,2375000,residential_sale,1990,2,105,INSTALLED,0,0,1,0,0,2,1,JUST_RENOVATED,B
10663664,Knokke-Heist,0,FLANDERS,PENTHOUSE,2350000,residential_sale,2021,2,121,HYPER_EQUIPPED,1,0,1,0,0,2,0,AS_NEW,A
10663667,Aywaille Sougné-Remouchamps,URBAN,WALLONIE,HOUSE,159000,residential_sale,1899,1,100,NOT_INSTALLED,0,0,1,0,242,2,0,TO_BE_DONE_UP,G
10663666,Knokke-Heist,0,FLANDERS,APARTMENT,435000,residential_sale,1996,2,0,HYPER_EQUIPPED,0,0,1,0,0,2,0,JUST_RENOVATED,0
10663658,Herzele,0,FLANDERS,HOUSE,495000,residential_sale,0,4,190,0,0,0,1,0,2722,4,0,GOOD,E
10663663,Knokke-Heist,0,FLANDERS,HOUSE,6495000,residential_sale,2008,5,535,HYPER_EQUIPPED,0,0,0,1,1106,4,1,AS_NEW,B
10663661,Tubize,0,WALLONIE,APARTMENT,130000,residential_sale,0,1,70,INSTALLED,0,0,0,0,0,2,0,GOOD,E
10663660,Knokke-Heist,0,FLANDERS,APARTMENT,575000,residential_sale,1996,2,90,HYPER_EQUIPPED,1,0,1,0,0,2,0,AS_NEW,A
10663657,Theux,RESIDENTIAL,WALLONIE,VILLA,575000,residential_sale,1994,4,207,INSTALLED,0,0,1,1,2242,4,0,AS_NEW,B
10663654,Aalst,URBAN,FLANDERS,HOUSE,319000,residential_sale,1900,4,139,HYPER_EQUIPPED,0,0,1,0,113,2,0,GOOD,D
10663656,Aalst,URBAN,FLANDERS,HOUSE,248000,residential_sale,0,3,161,INSTALLED,0,0,1,0,130,2,0,GOOD,F
